Program Duration,1180.7554959533334,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,142492.0,142492.0,1.0,1.0
AsQs,142492.0,142492.0,1.0,1.0
AsJs,142492.0,114.0,1.0,8.000449148022345E-4
AsTs,142492.0,61.0,1.0,4.280942087976869E-4
As9s,1882.0,34.0,0.013207759032086012,2.3860988687084188E-4
As8s,509.0,24.0,0.0035721303652134855,1.6843050837941778E-4
As7s,299.0,18.0,0.0020983634168935798,1.2632288128456334E-4
As6s,18.0,13.0,1.2632288128456334E-4,9.12331920388513E-5
As5s,141384.0,13.0,0.9922241248631503,9.12331920388513E-5
As4s,140816.0,11.0,0.9882379361648373,7.71973163405665E-5
As3s,139173.0,9.0,0.9767074642786964,6.316144064228167E-5
As2s,10.0,8.0,7.017937849142408E-5,5.6143502793139264E-5
AsAc,142492.0,142492.0,1.0,1.0
AsKc,142492.0,142492.0,1.0,1.0
AsQc,142492.0,23910.0,1.0,0.16779889397299497
AsJc,138870.0,75.0,0.9745810291104062,5.263453386856806E-4
AsTc,71.0,41.0,4.982735872891109E-4,2.8773545181483875E-4
As9c,31.0,23.0,2.1755607332341466E-4,1.6141257053027539E-4
As8c,20.0,15.0,1.4035875698284816E-4,1.0526906773713612E-4
As7c,14.0,11.0,9.825112988799372E-5,7.71973163405665E-5
As6c,10.0,8.0,7.017937849142408E-5,5.6143502793139264E-5
As5c,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
As4c,7.0,6.0,4.912556494399686E-5,4.2107627094854446E-5
As3c,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
As2c,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
AsAd,142492.0,142492.0,1.0,1.0
AsKd,142492.0,142492.0,1.0,1.0
AsQd,142492.0,23910.0,1.0,0.16779889397299497
AsJd,138870.0,75.0,0.9745810291104062,5.263453386856806E-4
AsTd,71.0,41.0,4.982735872891109E-4,2.8773545181483875E-4
As9d,31.0,23.0,2.1755607332341466E-4,1.6141257053027539E-4
As8d,20.0,15.0,1.4035875698284816E-4,1.0526906773713612E-4
As7d,14.0,11.0,9.825112988799372E-5,7.71973163405665E-5
As6d,10.0,8.0,7.017937849142408E-5,5.6143502793139264E-5
As5d,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
As4d,7.0,6.0,4.912556494399686E-5,4.2107627094854446E-5
As3d,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
As2d,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
AsAh,142492.0,142492.0,1.0,1.0
AsKh,142492.0,142492.0,1.0,1.0
AsQh,142492.0,23910.0,1.0,0.16779889397299497
AsJh,138870.0,75.0,0.9745810291104062,5.263453386856806E-4
AsTh,71.0,41.0,4.982735872891109E-4,2.8773545181483875E-4
As9h,31.0,23.0,2.1755607332341466E-4,1.6141257053027539E-4
As8h,20.0,15.0,1.4035875698284816E-4,1.0526906773713612E-4
As7h,14.0,11.0,9.825112988799372E-5,7.71973163405665E-5
As6h,10.0,8.0,7.017937849142408E-5,5.6143502793139264E-5
As5h,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
As4h,7.0,6.0,4.912556494399686E-5,4.2107627094854446E-5
As3h,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
As2h,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
KsQs,142455.0,28.0,0.9997403362995817,1.9650225977598743E-4
KsJs,142146.0,18.0,0.9975717935041968,1.2632288128456334E-4
KsTs,141599.0,13.0,0.9937329815007159,9.12331920388513E-5
Ks9s,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
Ks8s,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
Ks7s,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
Ks6s,4.0,4.0,2.8071751396569632E-5,2.8071751396569632E-5
Ks5s,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
Ks4s,3.0,3.0,2.1053813547427223E-5,2.1053813547427223E-5
Ks3s,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Ks2s,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
KsAc,142492.0,142492.0,1.0,1.0
KsKc,142492.0,142492.0,1.0,1.0
KsQc,4864.0,16.0,0.034135249698228676,1.1228700558627853E-4
KsJc,13.0,10.0,9.12331920388513E-5,7.017937849142408E-5
KsTc,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
Ks9c,5.0,5.0,3.508968924571204E-5,3.508968924571204E-5
Ks8c,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
Ks7c,3.0,3.0,2.1053813547427223E-5,2.1053813547427223E-5
Ks6c,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Ks5c,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
Ks4c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ks3c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ks2c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
KsAd,142492.0,142492.0,1.0,1.0
KsKd,142492.0,142492.0,1.0,1.0
KsQd,4864.0,16.0,0.034135249698228676,1.1228700558627853E-4
KsJd,13.0,10.0,9.12331920388513E-5,7.017937849142408E-5
KsTd,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
Ks9d,5.0,5.0,3.508968924571204E-5,3.508968924571204E-5
Ks8d,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
Ks7d,3.0,3.0,2.1053813547427223E-5,2.1053813547427223E-5
Ks6d,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Ks5d,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
Ks4d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ks3d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ks2d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
KsAh,142492.0,142492.0,1.0,1.0
KsKh,142492.0,142492.0,1.0,1.0
KsQh,4864.0,16.0,0.034135249698228676,1.1228700558627853E-4
KsJh,13.0,10.0,9.12331920388513E-5,7.017937849142408E-5
KsTh,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
Ks9h,5.0,5.0,3.508968924571204E-5,3.508968924571204E-5
Ks8h,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
Ks7h,3.0,3.0,2.1053813547427223E-5,2.1053813547427223E-5
Ks6h,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Ks5h,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
Ks4h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ks3h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ks2h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
QsJs,141879.0,9.0,0.9956980040984758,6.316144064228167E-5
QsTs,138760.0,7.0,0.9738090559470005,4.912556494399686E-5
Qs9s,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
Qs8s,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
Qs7s,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Qs6s,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
Qs5s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs4s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs3s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs2s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
QsAc,142492.0,23910.0,1.0,0.16779889397299497
QsKc,4864.0,16.0,0.034135249698228676,1.1228700558627853E-4
QsQc,142492.0,142492.0,1.0,1.0
QsJc,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
QsTc,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
Qs9c,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Qs8c,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
Qs7c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs6c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs5c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs4c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Qs3c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Qs2c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
QsAd,142492.0,23910.0,1.0,0.16779889397299497
QsKd,4864.0,16.0,0.034135249698228676,1.1228700558627853E-4
QsQd,142492.0,142492.0,1.0,1.0
QsJd,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
QsTd,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
Qs9d,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Qs8d,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
Qs7d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs6d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs5d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs4d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Qs3d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Qs2d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
QsAh,142492.0,23910.0,1.0,0.16779889397299497
QsKh,4864.0,16.0,0.034135249698228676,1.1228700558627853E-4
QsQh,142492.0,142492.0,1.0,1.0
QsJh,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
QsTh,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
Qs9h,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Qs8h,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
Qs7h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs6h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs5h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Qs4h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Qs3h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Qs2h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
JsTs,6.0,4.0,4.2107627094854446E-5,2.8071751396569632E-5
Js9s,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
Js8s,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Js7s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js6s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js5s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js4s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js3s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js2s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
JsAc,138870.0,75.0,0.9745810291104062,5.263453386856806E-4
JsKc,13.0,10.0,9.12331920388513E-5,7.017937849142408E-5
JsQc,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
JsJc,142492.0,142492.0,1.0,1.0
JsTc,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Js9c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js8c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js7c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js6c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js5c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js4c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js3c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js2c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
JsAd,138870.0,75.0,0.9745810291104062,5.263453386856806E-4
JsKd,13.0,10.0,9.12331920388513E-5,7.017937849142408E-5
JsQd,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
JsJd,142492.0,142492.0,1.0,1.0
JsTd,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Js9d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js8d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js7d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js6d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js5d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js4d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js3d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js2d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
JsAh,138870.0,75.0,0.9745810291104062,5.263453386856806E-4
JsKh,13.0,10.0,9.12331920388513E-5,7.017937849142408E-5
JsQh,6.0,5.0,4.2107627094854446E-5,3.508968924571204E-5
JsJh,142492.0,142492.0,1.0,1.0
JsTh,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Js9h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js8h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Js7h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js6h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js5h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js4h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js3h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Js2h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts9s,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
Ts8s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ts7s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ts6s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts5s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts4s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts3s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts2s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
TsAc,71.0,41.0,4.982735872891109E-4,2.8773545181483875E-4
TsKc,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
TsQc,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
TsJc,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
TsTc,142492.0,142492.0,1.0,1.0
Ts9c,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ts8c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts7c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts6c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts5c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts4c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts3c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts2c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
TsAd,71.0,41.0,4.982735872891109E-4,2.8773545181483875E-4
TsKd,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
TsQd,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
TsJd,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
TsTd,142492.0,142492.0,1.0,1.0
Ts9d,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ts8d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts7d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts6d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts5d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts4d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts3d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts2d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
TsAh,71.0,41.0,4.982735872891109E-4,2.8773545181483875E-4
TsKh,9.0,8.0,6.316144064228167E-5,5.6143502793139264E-5
TsQh,5.0,4.0,3.508968924571204E-5,2.8071751396569632E-5
TsJh,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
TsTh,142492.0,142492.0,1.0,1.0
Ts9h,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
Ts8h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts7h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts6h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts5h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts4h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts3h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
Ts2h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s8s,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
9s7s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s6s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s5s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s4s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s3s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s2s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9sAc,31.0,23.0,2.1755607332341466E-4,1.6141257053027539E-4
9sKc,5.0,5.0,3.508968924571204E-5,3.508968924571204E-5
9sQc,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
9sJc,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
9sTc,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
9s9c,142492.0,40632.0,1.0,0.2851528506863543
9s8c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s7c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s6c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s5c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s4c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s3c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s2c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9sAd,31.0,23.0,2.1755607332341466E-4,1.6141257053027539E-4
9sKd,5.0,5.0,3.508968924571204E-5,3.508968924571204E-5
9sQd,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
9sJd,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
9sTd,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
9s9d,142492.0,40632.0,1.0,0.2851528506863543
9s8d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s7d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s6d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s5d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s4d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s3d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s2d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9sAh,31.0,23.0,2.1755607332341466E-4,1.6141257053027539E-4
9sKh,5.0,5.0,3.508968924571204E-5,3.508968924571204E-5
9sQh,3.0,2.0,2.1053813547427223E-5,1.4035875698284816E-5
9sJh,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
9sTh,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
9s9h,142492.0,40632.0,1.0,0.2851528506863543
9s8h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s7h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s6h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s5h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s4h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s3h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
9s2h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s7s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s6s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s5s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s4s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s3s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s2s,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8sAc,20.0,15.0,1.4035875698284816E-4,1.0526906773713612E-4
8sKc,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
8sQc,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
8sJc,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
8sTc,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s9c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s8c,102606.0,155.0,0.7200825309491059,0.0010877803666170733
8s7c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s6c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s5c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s4c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s3c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s2c,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8sAd,20.0,15.0,1.4035875698284816E-4,1.0526906773713612E-4
8sKd,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
8sQd,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
8sJd,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
8sTd,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s9d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s8d,102606.0,155.0,0.7200825309491059,0.0010877803666170733
8s7d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s6d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s5d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s4d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s3d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s2d,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8sAh,20.0,15.0,1.4035875698284816E-4,1.0526906773713612E-4
8sKh,4.0,3.0,2.8071751396569632E-5,2.1053813547427223E-5
8sQh,2.0,2.0,1.4035875698284816E-5,1.4035875698284816E-5
8sJh,2.0,1.0,1.4035875698284816E-5,7.017937849142408E-6
8sTh,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s9h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s8h,102606.0,155.0,0.7200825309491059,0.0010877803666170733
8s7h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s6h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s5h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
8s4h,1.0,1.0,7.017937849142408E-6,7.017937849142408E-6
